Yr,B_Bmsy,F_Fmsy,Escenario
1994,4.431,0.045,Integrated Model S7
1995,4.338,0.156,Integrated Model S7
1996,4.048,0.242,Integrated Model S7
1997,3.694,0.292,Integrated Model S7
1998,3.388,0.349,Integrated Model S7
1999,2.582,0.471,Integrated Model S7
2000,2.093,0.737,Integrated Model S7
2001,2.308,1.941,Integrated Model S7
2002,1.194,0.773,Integrated Model S7
2003,0.814,0.591,Integrated Model S7
2004,0.565,0.432,Integrated Model S7
2005,0.498,0.780,Integrated Model S7
2006,0.577,0.759,Integrated Model S7
2007,0.888,1.634,Integrated Model S7
2008,1.422,2.370,Integrated Model S7
2009,3.062,4.676,Integrated Model S7
2010,2.216,3.122,Integrated Model S7
2011,5.258,4.039,Integrated Model S7
2012,4.244,2.222,Integrated Model S7
2013,2.660,1.246,Integrated Model S7
2014,6.257,4.635,Integrated Model S7
2015,7.028,3.775,Integrated Model S7
2016,4.852,2.820,Integrated Model S7
2017,4.528,2.478,Integrated Model S7
2018,6.823,2.761,Integrated Model S7
2019,5.166,3.288,Integrated Model S7
2020,8.599,2.305,Integrated Model S7
2021,6.300,2.661,Integrated Model S7
2022,7.958,2.901,Integrated Model S7
2023,5.010,1.482,Integrated Model S7
2024,3.346,1.482,Integrated Model S7
2025,2.039,1.482,Integrated Model S7
2026,1.339,1.002,Integrated Model S7
2027,1.171,0.720,Integrated Model S7
1994,2.000,0.020,Zhou Model
1995,1.962,0.067,Zhou Model
1996,1.933,0.097,Zhou Model
1997,1.901,0.106,Zhou Model
1998,1.889,0.112,Zhou Model
1999,1.875,0.122,Zhou Model
2000,1.871,0.146,Zhou Model
2001,1.847,0.275,Zhou Model
2002,1.756,0.085,Zhou Model
2003,1.833,0.048,Zhou Model
2004,1.899,0.067,Zhou Model
2005,1.912,0.224,Zhou Model
2006,1.815,0.049,Zhou Model
2007,1.888,0.069,Zhou Model
2008,1.904,0.109,Zhou Model
2009,1.890,0.270,Zhou Model
2010,1.785,0.319,Zhou Model
2011,1.714,0.564,Zhou Model
2012,1.544,0.504,Zhou Model
2013,1.516,0.265,Zhou Model
2014,1.611,0.749,Zhou Model
2015,1.422,0.807,Zhou Model
2016,1.311,0.706,Zhou Model
2017,1.299,0.652,Zhou Model
2018,1.316,0.718,Zhou Model
2019,1.296,1.146,Zhou Model
2020,1.107,1.154,Zhou Model
2021,1.013,1.441,Zhou Model
2022,0.863,1.476,Zhou Model
